Date,Open,High,Low,Close,Volume
2012-01-03,325.25,332.83,324.97,331.46,7380500
2012-01-04,331.27,333.87,329.08,332.89,5749400
2012-01-05,329.83,330.75,326.89,328.28,6590300
2012-01-06,328.34,328.77,323.68,323.8,5405900
2012-01-09,322.04,322.29,309.46,310.07,11688800
2012-01-10,313.7,315.72,307.3,310.4,8824000
2012-01-11,310.59,313.52,309.4,311.81,4817800
2012-01-12,314.43,315.26,312.08,313.65,3764400
2012-01-13,311.96,312.3,309.37,311.33,4631800
2012-01-17,314.81,314.81,311.67,313.12,3832800
2012-01-18,312.14,315.82,309.9,315.27,5544000
2012-01-19,319.3,319.3,314.55,318.59,12657800
2012-01-20,294.16,294.4,289.76,291.9,21231800
2012-01-23,291.91,293.23,290.49,291.67,6851300
2012-01-24,292.07,292.74,287.92,289.38,6134400
2012-01-25,287.68,288.27,282.13,283.68,10012700
2012-01-26,284.92,286.17,281.22,282.99,6476500
2012-01-27,284.32,289.08,283.6,288.91,7262000
2012-01-30,287.95,288.92,285.63,287.77,4678400
2012-01-31,290.41,290.91,286.5,288.97,4300700
2012-02-01,291.38,291.66,288.49,289.33,4658700
2012-02-02,291.34,292.11,289.95,291.46,4847400
2012-02-03,294.23,297.42,292.93,297.05,6360700
2012-02-06,296.39,304.27,295.9,303.41,7386700
2012-02-07,302.44,303.56,300.75,302.25,4199700
2012-02-08,303.18,304.53,301.24,303.79,3686400
2012-02-09,304.87,306.1,303.36,304.59,4546300
2012-02-10,302.81,302.93,300.87,301.82,4667700
2012-02-13,304.11,305.77,303.87,304.96,3646100
2012-02-14,304.63,304.86,301.25,303.74,3620900
2012-02-15,305.32,305.32,300.15,301.65,4869900
2012-02-16,300.28,303.27,297.75,302.13,5080700
2012-02-17,301.36,302.68,300.08,301.19,4916400
2012-02-21,300.81,307.79,300.31,305.85,4980100
2012-02-22,304.84,307.24,302.22,302.84,3948700
2012-02-23,302.37,302.83,299.05,301.92,4125300
2012-02-24,302.54,304.68,301.62,303.81,3885600
2012-02-27,302.16,305.04,301.4,303.52,3641300
2012-02-28,303.86,308.73,302.71,308.04,5716400
2012-02-29,308.14,311.63,306.6,307.97,6297200
2012-03-01,309.97,311.68,307.92,310.04,4492000
2012-03-02,309.84,310.83,309.0,309.47,3158300
2012-03-05,309.06,310.08,304.55,305.98,3198400
2012-03-06,302.89,303.27,295.81,301.35,6372500
2012-03-07,303.39,304.45,301.8,302.27,2538400
2012-03-08,303.88,304.61,302.04,302.44,2700900
2012-03-09,302.84,304.81,298.88,299.01,5361100
2012-03-12,298.88,302.37,298.51,301.44,3350400
2012-03-13,303.24,307.77,301.64,307.74,4508300
2012-03-14,306.35,310.23,305.58,306.84,5895700
2012-03-15,307.15,310.59,306.27,309.41,4888300
2012-03-16,309.29,311.79,308.87,311.35,6123800
2012-03-19,310.4,317.45,309.46,315.8,4361800
2012-03-20,314.28,316.84,312.46,315.56,3092400
2012-03-21,316.12,322.49,315.07,318.8,4957600
2012-03-22,318.06,323.19,314.32,321.82,4838400
2012-03-23,322.09,323.04,319.25,320.09,3894800
2012-03-26,321.3,323.53,318.58,323.45,3651900
2012-03-27,322.31,325.53,321.2,322.3,4029400
2012-03-28,324.8,328.07,324.32,326.65,5096700
2012-03-29,325.5,327.07,320.95,322.99,3862900
2012-03-30,324.66,325.52,319.3,319.42,4638700
